书号	中文名	译名	作者	译者	用户名	评级	日期	helpful vote	标题	内容
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Doyle Hodges	1.0	2018年2月3日 在美国审核	85	Kindle edition is literally a comic book, not the classic text	Caution: Although it is listed as a different version of the same product, the $3.99 Kindle edition is literally a comic book version of this.  The page is misleading, as it lists Moss as the translator and the length as 1120 pages.  When you download the eBook, you get a 71 page comic book. I was able to return for a refund, but this absolutely NOT what the page would lead you to believe.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Daetrin	5.0	2018年7月22日 在美国审核	55	Best translation  - fantastic literature like Game of Thrones or Lord of the Rings.  A must read even if you are not Chinese!	I've read Moss Roberts' other translations for "Journey to the West" and "Outlaws of the Marsh".  I tried a different translation for "Romance of the Three Kingdoms" done by Brewitt-Talyor as well. I prefer the Moss Robert's version because: 1. It comes in a 3 volume set (unlike others) 2. It uses the modern pinyin for names vs. Wade-Giles (e.g. Zhang Fe vs. Chang Fei, Cao Cao instead of Ts'ao Ts'ao) which is much easier to follow if you have ever taken a Chinese class 3. There are maps! I got really lost trying to follow-along with the Brewitt-Taylor version Lastly, Moss Roberts has a copious afterward and amazing footnotes, which aid greatly a western reader who may not have the full context on the non-fiction history of the 3 Kingdoms period. The 3 classics of Chinese literature are indeed long (about 1000 pages), but so too are series like Lord of the Rings or even Harry Potter (where one book is 700 pages), however they are amazing reads. If you could only pick one, then the Three Kingdoms is IMHO the best of the 3 for a western reader.  If you are going to read all 3, then start with Journey to the West, then go to Outlaws of the Marsh, then to the Three Kingdoms. FWIW, 3 Kingdoms is packed with adventure, intrigue, tragedy, and also highlights a lot of the virtues of Chinese culture.  Think Game of Thrones in China if you need a metaphor. I had a hard time putting these books down, and I hope you try them out and enjoy them as well.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Mary Soon Lee	3.0	2019年7月24日 在美国审核	9	Moss Roberts's excellent notes help make this Chinese classic more accessible.	This is Moss Roberts's translation of the Mao version of the Chinese classic "Three Kingdoms," a highly-influential historical novel that covers a sweep of over a century from 168 A.D. to 280 A.D., encompassing the fall of the Han dynasty, and the ensuing struggle between the resulting three kingdoms, as signaled by the book's opening sentences: "Here begins our tale. The empire, long divided, must unite; long united, must divide. Thus has it ever been." The authorship of the novel is traditionally attributed to Luo Guanzhong, writing in the fourteenth century, over a millennium after the novel's events. Complicating the novel's history, there were at least two main versions of the narrative: a print edition from 1522 (well after Luo Guanzhong's death), and a subsequent major revision of this dating from the 1660s. The version from the 1660s edited by Mao Lun and Mao Zonggang (father and son) is the dominant one, and this is the version that Moss Roberts has translated. The novel is episodic, very lengthy, and has a vast cast of roughly a thousand characters, over a hundred of which Moss Roberts classifies as major characters. The original audience would have been very familiar with the story's heroes, who were the subject of popular stories and plays that predate the book. I, however, was entirely unfamiliar with the characters and the historical period, and would have struggled to make sense of it but for Roberts's extensive and very helpful notes. Even with the notes, I found the book an effort to read. While I cannot exactly say that I enjoyed it, I am glad that I read it. The scale of the story is epic: men scheme and betray each other, factions vie for control of the empire, huge armies -- sometimes of over a hundred thousand soldiers -- battle. The book also reminds me of China's long history of civilization. Despite dynastic struggles, such as those shown in Three Kingdoms, China's organized bureaucracy lasted for millennia, run by highly-educated officials (and helped by the invention of paper). The book raises questions of what makes an ideal ruler, an ideal minister, an ideal general, and includes many instances of ruses and clever schemes. The novel's opening chapter includes the swearing of an oath of brotherhood between three heroes, Liu Bei (known as Xuande), Lord Guan, and Zhang Fei in a peach orchard. The scene is renowned, yet I found it underwhelming, as I likewise found other famous moments in the story underwhelming. The lengthy story never once brought me close to tears; I never came to love its heroes. If I had the stamina to re-read the whole book, perhaps this would change. Knowing what lay ahead, having familiarity with the characters, the events might have more emotional weight for me. On my first reading, I was interested rather than moved. And the initial impact of the novel, for me, was bleak: kingdoms fall and rise, cruel and selfish individuals may prosper, heroes are imperfect, everyone dies, women are largely relegated to the sidelines. A handful more assorted comments.... Firstly, I read this in parallel with Brewitt-Taylor's 1925 translation, and I considerably prefer Moss Roberts's version, both for its prose style and for its invaluable footnotes (plus an illuminating one-hundred-page-long afterword). Secondly, as the afterword clarifies, the book drew heavily on historical records, but amended and added to them, so that one scholar, Zhang Xuecheng, later characterized it as "seven parts fact and three parts fiction." Thirdly, this edition includes occasional illustrations, which I welcomed, though their reproduction quality was sometimes poor. Fourthly, the book contains many fantastical elements: portents and sorcery and ghosts. Fifthly, the book contains a fair amount of poetry.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	C. Denver Mullican	5.0	2018年2月16日 在美国审核	16	The best guide to Chinese strategy - what they learned as children	If you want to understand Chinese strategy read this. Research has shown we are influenced heavily by the stories of our childhood. The Three Kingdoms is a well known tale in China, not so much in the rest of the world. If you want to understand Chinese strategy, negotiation and leadership - look at the examples that children were taught in this book.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	ophewathun	5.0	2015年11月7日 在美国审核	23	Worth the effort	It's a challenging read for those of us who didn't grow up with these characters and stories, but if you invest the time and make good use of the excellent Moss Roberts annotations, you can get completely absorbed in it. After working at it for a while, picking it up and putting it down and picking it up again, all of a sudden, I discovered that this monster of a novel turns out to be the source material for many of my favorite Chinese movies. In this particular set the books are small paperbacks with no margins to speak of, small print and annotations in even smaller print. I have to use a magnifying glass to read them. Eventually I bought the 2-volume larger format set put out by University of California Press. The print is larger, but still small -- but at least I can read it without a magnifying glass.Also the margins in the U Cal Press version are wide enough that I can make notes and make cross references for myself.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Dan1m	1.0	2020年11月30日 在美国审核	4	Quality control issues with the book	The books that I got has a few issues. I've only looked through the first book at this moment but I saw that names and words are randomly misspelled throughout the whole book. Also the text is slightly off-centered on the page like it's slanted. It's as if someone had placed it on a scanner in a crooked way. I have screenshots of this attached: notice that the Character "Yuan Shao" is spelled as "Yuan Soao" and that the margin gradually widens throughout on the right hand side. I expected higher quality control that this. This is not acceptable.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	A. Steven Toby	4.0	2018年8月4日 在美国审核	2	An Epic Tale of Loyalty and Betrayal	In AD 235, the ancient world in the West collapsed into chaos when Alexander Severus, Emperor of the Romans, was assassinated and the Roman Empire broke up into three warring states. One included Gaul (modern France), Britain, and Hispania (modern Spain), another Italy and North Africa, and the third was based on Palmyra, ruled by Queen Zenobia. In 270, Aurelian re-united the three kingdoms and re-established the Empire. It is an odd coincidence of history that at about the same time, the Han Dynasty in China also experienced a revolt (about 190 AD), and it also broke up into the "Three Kingdoms" of the title. Is there any significance to this parallel? The two empires did have some sort of diplomatic relations, rather astonishing in view of the distances involved. At all events, this sprawling tale is the story of three heroes who swear an oath of loyalty to each other and the Han Emperor at the beginning and try to bring the Empire back together. For the English-speaking reader the translator has rendered the work into modern, unadorned English. To me the names all seem alike, a problem because there are literally hundreds of characters! However, the authors have given us brave and dedicated heroes as well as a wonderful villain, Cao Cao. He's the kind of man who, hearing someone sharpening a knife in a back room when a guest at an ally's house, breaks into the room and kills the man with the knife. Then he realizes he was just preparing to butcher a pig! He rides away, meets his host coming in the other direction, and decides he'd better kill him and all his escort to keep the error from becoming known. He's the enemy readers can hate with a clear conscience. The books (5 volumes in paperback) cover a period of several decades with numerous marches, countermarches, sieges, and battles, including the largest naval battle of all time with a total of 800,000 men on 2 fleets of ships and on land. (That's the Battle of Red Hill). While it can be a little tedious because it's so huge, the story keeps your interest and if we could just get a better idea of the geography it could rival the Iliad in Western literature. While there's a map, alas, it is very small scale and the place names in the text far outnumber those on the map. The historicity of the story has been questioned, with many scholarly arguments over the split between fact and fiction. Apparently the author, who first published it around the year 1500, was a Ming dynasty playwright who supposedly also had access to the Imperial Archives. Some of the characters are real people but it's clear the story has been doctored at numerous points. Also, the Foreword, which is extremely helpful although it's scholarly and not written for the general reader, says that a second author recast the plot around 1540 to strengthen the villainy of Cao Cao, whom the first author wanted to make ambiguous because he was nominally working to prolong the Han Dynasty. Cao Cao works wonderfully as a villain so it's hard to imagine how the original text treated him. So, don't learn your history from this book! It's "just" entertainment, and however good the Archives were, the authors were working a thousand-plus years after the event. It's not history. A final layer of confusion is added to the text by the use of the relatively new, People's Republic of China (PRC) official transliteration scheme where Mao Tse-Tung becomes Mao Zhedong and Peking becomes Beijing. Therefore, any familiarity older readers have with China will be almost useless as all the place names and people's names are spelled differently. Of course, literature from a foreign culture that doesn't use the Roman alphabet must choose some consistent transliteration scheme, and the PRC one is meant to reproduce more closely the pronunciation used in one of the main dialects of Chinese (Cantonese or Mandarin.) Despite these caveats, "Three Kingdoms" is a work worthy of your time.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	What the echo	3.0	2018年1月16日 在美国审核	3	Technical issues in Kindle ebook.	Bought the digital version for a cheap price of $4. Story quality is fine, the technical aspects make it hard to read. It only shows one panel at a time, at low resolution. The Kindle PC app doesn't allow maximizing and justifying so the panels are like 2" in size. I had to manually reduce windows resolution very low as a workaround. Using a surface for vertical aspect ratio doesn't help much either.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	CC	5.0	2019年9月30日 在美国审核	2	Nice 4 volume set - 2339 pages of elegant translation	This is a review for the 4 volume set translated by Moss Roberts, published by Foreign Language Press and sold by Great Wall Bookstore. It has 120 chapters or 2339 pages, the only unabridged version translated by a native English speaker who has been furiously studying Chinese history and language. (I had purchased the ebook version and was disappointed to find those to be incomplete.) I bought them as a gift for my bookworm hubby, since he was hoping to get into some Chinese classics. This book set has helpful footnotes providing enough contexts and also figured and maps. We compared this translation with the more recent one translated by Yu Sumei and edited by Iverson. Together we concluded that Moss Roberts translation is more elegant.
10	三国演义	Three Kingdoms	罗贯中	Moss Roberts	Scribbles	5.0	2014年5月31日 在美国审核	5	Fantastic Read and Translation so far	I've heard many stories and references to this book growing up it is kind of nice to actually read them for myself.  Unfortunately I cannot read Chinese at all so I had to rely on finding a translated version. I came across and attempted a Brewitt-Taylor translation a while back but could not finish the book through that version.  The names of all the people and the way it read did not quite flow as nicely for me.  This version by Robert Moss is fantastic. It reads nicely and is full of notes and annotations that provide a much deeper understanding of the story, history and of the book itself. The quality of the books are nice, the text is not to fine or big to read.  I am tempted to now shell out the extra 100 bucks for the hardcover editions.  I was only a bit disappointed the shipping of the product which seemed to damage it some. (bent or crushed a bit on edges)
